product_id,category_id
P0001,SHOES
P0001,HAT
P0002,SHOES
P0003,LONGSLEEVE
P0003,DRESS
P0003,SHIRT
P0004,SHOES
P0005,SHOES
P0006,SHOES
P0007,SHOES
P0008,SHOES
P0009,SHOES
P0010,SHOES
P0011,SHOES
P0012,DRESS
P0012,SHIRT
P0013,SHOES
P0014,SHOES
P0015,PANTS
P0016,DRESS
P0016,SKIRT
P0017,SHOES
P0018,HAT
P0019,DRESS
P0019,SKIRT
P0020,SHOES
P0021,DRESS
P0021,SKIRT
P0022,PANTS
P0022,SET
P0023,SHOES
P0024,NOT_SURE
P0024,PANTS
P0024,SHIRT
P0025,SHOES
P0026,SHIRT
P0027,PANTS
P0027,SHORTS
P0027,SET
P0028,SHOES
P0029,PANTS
P0029,SET
P0030,SHOES
P0031,SHOES
P0032,PANTS
P0033,PANTS
P0034,PANTS
P0035,PANTS
P0036,PANTS
P0037,PANTS
P0038,SHOES
P0039,PANTS
P0040,PANTS
P0041,PANTS
P0042,SHOES
P0043,SHOES
P0044,NOT_SURE
P0044,SHIRT
P0045,PANTS
P0046,DRESS
P0047,PANTS
P0047,SHORTS
P0048,SHIRT
P0049,PANTS
P0049,BODY
P0050,DRESS
P0051,SHOES
P0051,HAT
P0052,SHOES
P0053,PANTS
P0054,HAT
P0055,SHOES
P0055,SET
P0056,SHOES
P0057,SHOES
P0058,SHOES
P0059,PANTS
P0060,PANTS
P0061,PANTS
P0062,SHOES
P0063,SHIRT
P0063,BODY
P0064,DRESS
P0065,SHOES
P0065,HAT
P0066,PANTS
P0067,SHOES
P0068,SHOES
P0069,PANTS
P0070,SHOES
P0071,SHOES
P0072,SHOES
P0073,SHOES
P0074,SHOES
P0075,SHOES
P0076,SHOES
P0077,HAT
P0078,HAT
P0079,SHOES
P0080,PANTS
P0080,SHIRT
P0081,SHOES
P0082,SHOES
P0083,NOT_SURE
P0083,SHIRT
P0084,SHOES
P0085,DRESS
P0085,SKIRT
P0086,NOT_SURE
P0087,SHOES
P0088,SHOES
P0089,DRESS
P0090,SHOES
P0091,SHIRT
P0092,SHOES
P0092,HAT
P0093,SHOES
P0094,PANTS
P0094,SHIRT
P0094,SET
P0095,SHOES
P0096,SHOES
P0097,SHOES
P0098,SHOES
P0098,SET
P0099,SHOES
P0100,SHOES
P0101,SHOES
P0102,PANTS
P0103,SHOES
P0104,SHOES
P0104,SET
P0105,SHOES
P0105,SET
P0106,PANTS
P0107,SHOES
P0107,SET
P0108,PANTS
P0109,PANTS
P0110,PANTS
P0111,DRESS
P0112,SHOES
P0113,DRESS
P0114,PANTS
P0115,SHOES
P0116,PANTS
P0117,SHOES
P0118,PANTS
P0119,PANTS
P0120,SHOES
P0121,PANTS
P0122,PANTS
P0123,SHOES
P0124,SHOES
P0124,HAT
P0125,SHOES
P0126,PANTS
P0127,SHOES
P0127,SHIRT
P0128,SHOES
P0129,PANTS
P0130,PANTS
P0131,DRESS
P0132,DRESS
P0133,SHOES
P0134,SHOES
P0134,SET
P0135,SHOES
P0136,SHOES
P0137,SHOES
P0138,DRESS
P0138,SKIRT
P0139,SHOES
P0140,SHOES
P0141,SHOES
P0142,SHOES
P0143,SHOES
P0144,SHIRT
P0145,PANTS
P0145,SHORTS
P0145,SET
P0146,SHOES
P0147,SHOES
P0148,SHOES
P0149,PANTS
P0150,SHOES
P0151,SHOES
P0152,SHOES
P0152,HAT
P0153,SHOES
P0154,SHOES
P0155,SHOES
P0156,SHOES
