product_id,name,description,price,quantity,image_url,discount,sold,rating
P0001,Dép Lê Thoáng Khí Đục Lỗ Bít Mũi Mùa Hè Đi Ra Ngoài Dép Lê Nửa Túi Thời Trang Nữ Mặc Thường Ngày Đế Dày dép sục dép nữ dép cho mẹ dép đế dày,,95000,831,C:/Users/ASUS/Desktop/T/ĐAN_KLTN/getImages/0.jpg,0.4,78,
P0002,Dép Đế Xuồng Đế Dày Thời Trang Mùa Hè Cho Nữ Đi Biển Đế Cao Gót Đế Xuồng EVA Đế Mềm Dép Đi Biển Thường Ngày,,62000,971,C:/Users/ASUS/Desktop/T/ĐAN_KLTN/getImages/1.jpg,0.87,6,
P0003,SPICYG Darlingism Đầm Maxistyle Dài Thời Trang Nữ Đầm Nữ Đầm Body Nữ Ôm Body Yêu Thích Đầm Đầm Body Dự Tiệc Đầm Đũi Vai Nữ Trumpet Mùa Thu Mới Hot Girl Rỗng Xuyên Thấu Áo Dài Tay Gợi Cảm Dáng Ngắn Phối Ren Phía Dưới Nổi Tiếng,,171071,448,C:/Users/ASUS/Desktop/T/ĐAN_KLTN/getImages/2.jpg,0.58,22,
P0004,ISARO Giày thể thao vải lưới thời trang 2024 dành cho nữ,,45000,811,C:/Users/ASUS/Desktop/T/ĐAN_KLTN/getImages/3.jpg,0.5,31,
P0005,"Dép nơ thời trang nữ, gót vuông 3 phân phù hợp đi chơi đi dạo phố ngày hè(mã 03)",,120000,301,C:/Users/ASUS/Desktop/T/ĐAN_KLTN/getImages/4.jpg,0.0,51,
P0006,Giày Bốt Cotton Lót Lông Cừu Dày Dặn Ấm Áp Thời Trang Xuân Thu Cho Nữ-yoga170,,62000,727,C:/Users/ASUS/Desktop/T/ĐAN_KLTN/getImages/5.jpg,0.47,70,
P0007,Dép Cao Gót Đế Dày Chống Trượt Thời Trang Đi Biển Mùa Hè Cho Nữ,,69000,900,C:/Users/ASUS/Desktop/T/ĐAN_KLTN/getImages/6.jpg,0.44,62,
P0008,"Sục Dép, thời trang Dép Nữ Cross Dog Đế Cao Đế cao 5 cm",,55000,518,C:/Users/ASUS/Desktop/T/ĐAN_KLTN/getImages/7.jpg,0.0,14,
P0009,Cách Hàn Quốc Thời Trang Xuân Thu Cho Nữ Giày Lười Vải canvas Đế Bằng Phong-Goya170,,57000,613,C:/Users/ASUS/Desktop/T/ĐAN_KLTN/getImages/8.jpg,0.46,248,
P0010,Dép lười đế bằng đơn giản thời trang dành cho nữ,,61000,304,C:/Users/ASUS/Desktop/T/ĐAN_KLTN/getImages/9.jpg,0.38,86,
